id,claim,claim_type
47,The Olympics were held in Tokyo in 2021.,TEMPORAL
48,India became independent in 1947.,TEMPORAL
49,A triangle has 3 sides.,NUMERIC
50,India became independent in 1947.,TEMPORAL
51,If A>B and B>C then A>C.,LOGICAL
52,All mammals are animals.,LOGICAL
53,India became independent in 1947.,TEMPORAL
54,A triangle has 3 sides.,NUMERIC
55,Python is the best language.,OPINION
56,The company was founded in 2010.,TEMPORAL
57,This movie is fantastic.,OPINION
58,This movie is fantastic.,OPINION
59,India became independent in 1947.,TEMPORAL
60,A triangle has 3 sides.,NUMERIC
61,All mammals are animals.,LOGICAL
62,Paris is the capital of France.,FACTUAL
63,A triangle has 3 sides.,NUMERIC
64,A triangle has 3 sides.,NUMERIC
65,Every square is a rectangle.,LOGICAL
66,Water freezes at 0°C.,FACTUAL
67,Every square is a rectangle.,LOGICAL
68,Every square is a rectangle.,LOGICAL
69,The company was founded in 2010.,TEMPORAL
70,Mount Everest is the tallest mountain.,FACTUAL
71,Mount Everest is the tallest mountain.,FACTUAL
72,This movie is fantastic.,OPINION
73,India became independent in 1947.,TEMPORAL
74,The Olympics were held in Tokyo in 2021.,TEMPORAL
75,The Earth is 149.6 million km from the Sun.,NUMERIC
76,Mount Everest is the tallest mountain.,FACTUAL
77,The company was founded in 2010.,TEMPORAL
78,A triangle has 3 sides.,NUMERIC
79,Mount Everest is the tallest mountain.,FACTUAL
80,The company was founded in 2010.,TEMPORAL
81,Python is the best language.,OPINION
82,15 + 27 = 42.,NUMERIC
83,India became independent in 1947.,TEMPORAL
84,Python is the best language.,OPINION
85,Mount Everest is the tallest mountain.,FACTUAL
86,The Olympics were held in Tokyo in 2021.,TEMPORAL
87,Paris is the capital of France.,FACTUAL
88,The Olympics were held in Tokyo in 2021.,TEMPORAL
89,15 + 27 = 42.,NUMERIC
90,A triangle has 3 sides.,NUMERIC
91,Paris is the capital of France.,FACTUAL
92,All mammals are animals.,LOGICAL
93,AI is the greatest invention.,OPINION
94,A triangle has 3 sides.,NUMERIC
95,Every square is a rectangle.,LOGICAL
96,The Earth is 149.6 million km from the Sun.,NUMERIC
97,Python is the best language.,OPINION
98,All mammals are animals.,LOGICAL
99,Python is the best language.,OPINION
100,A triangle has 3 sides.,NUMERIC
101,The Olympics were held in Tokyo in 2021.,TEMPORAL
102,The Olympics were held in Tokyo in 2021.,TEMPORAL
103,This movie is fantastic.,OPINION
104,Paris is the capital of France.,FACTUAL
105,15 + 27 = 42.,NUMERIC
106,India became independent in 1947.,TEMPORAL
107,Python is the best language.,OPINION
108,A triangle has 3 sides.,NUMERIC
109,15 + 27 = 42.,NUMERIC
110,Mount Everest is the tallest mountain.,FACTUAL
111,Paris is the capital of France.,FACTUAL
112,Paris is the capital of France.,FACTUAL
113,India became independent in 1947.,TEMPORAL
114,AI is the greatest invention.,OPINION
115,The company was founded in 2010.,TEMPORAL
116,All mammals are animals.,LOGICAL
117,AI is the greatest invention.,OPINION
118,Python is the best language.,OPINION
119,All mammals are animals.,LOGICAL
120,If A>B and B>C then A>C.,LOGICAL
121,15 + 27 = 42.,NUMERIC
122,Mount Everest is the tallest mountain.,FACTUAL
123,If A>B and B>C then A>C.,LOGICAL
124,If A>B and B>C then A>C.,LOGICAL
125,Every square is a rectangle.,LOGICAL
126,Mount Everest is the tallest mountain.,FACTUAL
127,Paris is the capital of France.,FACTUAL
128,Every square is a rectangle.,LOGICAL
129,India became independent in 1947.,TEMPORAL
130,15 + 27 = 42.,NUMERIC
131,A triangle has 3 sides.,NUMERIC
132,All mammals are animals.,LOGICAL
133,All mammals are animals.,LOGICAL
134,The Olympics were held in Tokyo in 2021.,TEMPORAL
135,15 + 27 = 42.,NUMERIC
136,Every square is a rectangle.,LOGICAL
137,Paris is the capital of France.,FACTUAL
138,AI is the greatest invention.,OPINION
139,Paris is the capital of France.,FACTUAL
140,The Earth is 149.6 million km from the Sun.,NUMERIC
141,If A>B and B>C then A>C.,LOGICAL
142,The Earth is 149.6 million km from the Sun.,NUMERIC
143,Paris is the capital of France.,FACTUAL
144,All mammals are animals.,LOGICAL
145,If A>B and B>C then A>C.,LOGICAL
146,If A>B and B>C then A>C.,LOGICAL
147,Every square is a rectangle.,LOGICAL
148,Python is the best language.,OPINION
149,All mammals are animals.,LOGICAL
150,The Earth is 149.6 million km from the Sun.,NUMERIC
151,15 + 27 = 42.,NUMERIC
152,Python is the best language.,OPINION
153,AI is the greatest invention.,OPINION
154,India became independent in 1947.,TEMPORAL
155,Mount Everest is the tallest mountain.,FACTUAL
156,Every square is a rectangle.,LOGICAL
157,AI is the greatest invention.,OPINION
158,Mount Everest is the tallest mountain.,FACTUAL
159,Paris is the capital of France.,FACTUAL
160,Mount Everest is the tallest mountain.,FACTUAL
161,Mount Everest is the tallest mountain.,FACTUAL
162,The Earth is 149.6 million km from the Sun.,NUMERIC
163,Mount Everest is the tallest mountain.,FACTUAL
164,A triangle has 3 sides.,NUMERIC
165,AI is the greatest invention.,OPINION
166,AI is the greatest invention.,OPINION
167,Every square is a rectangle.,LOGICAL
168,Python is the best language.,OPINION
169,This movie is fantastic.,OPINION
170,India became independent in 1947.,TEMPORAL
171,India became independent in 1947.,TEMPORAL
172,The Olympics were held in Tokyo in 2021.,TEMPORAL
173,A triangle has 3 sides.,NUMERIC
174,The Olympics were held in Tokyo in 2021.,TEMPORAL
175,India became independent in 1947.,TEMPORAL
176,Water freezes at 0°C.,FACTUAL
177,Python is the best language.,OPINION
178,Paris is the capital of France.,FACTUAL
179,AI is the greatest invention.,OPINION
180,This movie is fantastic.,OPINION
181,The Earth is 149.6 million km from the Sun.,NUMERIC
182,Paris is the capital of France.,FACTUAL
183,The Olympics were held in Tokyo in 2021.,TEMPORAL
184,The Earth is 149.6 million km from the Sun.,NUMERIC
185,Python is the best language.,OPINION
186,The company was founded in 2010.,TEMPORAL
187,AI is the greatest invention.,OPINION
188,This movie is fantastic.,OPINION
189,Paris is the capital of France.,FACTUAL
190,India became independent in 1947.,TEMPORAL
191,Mount Everest is the tallest mountain.,FACTUAL
192,AI is the greatest invention.,OPINION
193,The Olympics were held in Tokyo in 2021.,TEMPORAL
194,AI is the greatest invention.,OPINION
195,India became independent in 1947.,TEMPORAL
196,The company was founded in 2010.,TEMPORAL
197,If A>B and B>C then A>C.,LOGICAL
198,Paris is the capital of France.,FACTUAL
199,If A>B and B>C then A>C.,LOGICAL
200,Paris is the capital of France.,FACTUAL
201,India became independent in 1947.,TEMPORAL
202,India became independent in 1947.,TEMPORAL
203,Every square is a rectangle.,LOGICAL
204,Every square is a rectangle.,LOGICAL
205,Paris is the capital of France.,FACTUAL
206,Mount Everest is the tallest mountain.,FACTUAL
207,A triangle has 3 sides.,NUMERIC
208,Water freezes at 0°C.,FACTUAL
209,Python is the best language.,OPINION
210,The Earth is 149.6 million km from the Sun.,NUMERIC
211,15 + 27 = 42.,NUMERIC
212,The Olympics were held in Tokyo in 2021.,TEMPORAL
213,Water freezes at 0°C.,FACTUAL
214,A triangle has 3 sides.,NUMERIC
215,A triangle has 3 sides.,NUMERIC
216,Water freezes at 0°C.,FACTUAL
217,This movie is fantastic.,OPINION
218,Python is the best language.,OPINION
219,15 + 27 = 42.,NUMERIC
220,15 + 27 = 42.,NUMERIC
221,All mammals are animals.,LOGICAL
222,A triangle has 3 sides.,NUMERIC
223,The Olympics were held in Tokyo in 2021.,TEMPORAL
224,The Earth is 149.6 million km from the Sun.,NUMERIC
225,A triangle has 3 sides.,NUMERIC
226,Water freezes at 0°C.,FACTUAL
227,Water freezes at 0°C.,FACTUAL
228,15 + 27 = 42.,NUMERIC
229,If A>B and B>C then A>C.,LOGICAL
230,India became independent in 1947.,TEMPORAL
231,15 + 27 = 42.,NUMERIC
232,The Earth is 149.6 million km from the Sun.,NUMERIC
233,The Olympics were held in Tokyo in 2021.,TEMPORAL
234,Water freezes at 0°C.,FACTUAL
235,The company was founded in 2010.,TEMPORAL
236,This movie is fantastic.,OPINION
237,This movie is fantastic.,OPINION
238,Paris is the capital of France.,FACTUAL
239,India became independent in 1947.,TEMPORAL
240,This movie is fantastic.,OPINION
241,Paris is the capital of France.,FACTUAL
242,This movie is fantastic.,OPINION
243,The company was founded in 2010.,TEMPORAL
244,The Olympics were held in Tokyo in 2021.,TEMPORAL
245,Python is the best language.,OPINION
246,Water freezes at 0°C.,FACTUAL
247,AI is the greatest invention.,OPINION
248,India became independent in 1947.,TEMPORAL
249,All mammals are animals.,LOGICAL
250,Python is the best language.,OPINION
251,The Earth is 149.6 million km from the Sun.,NUMERIC
252,All mammals are animals.,LOGICAL
253,The company was founded in 2010.,TEMPORAL
254,The company was founded in 2010.,TEMPORAL
255,Mount Everest is the tallest mountain.,FACTUAL
256,The company was founded in 2010.,TEMPORAL
257,The company was founded in 2010.,TEMPORAL
258,If A>B and B>C then A>C.,LOGICAL
259,Every square is a rectangle.,LOGICAL
260,The company was founded in 2010.,TEMPORAL
261,15 + 27 = 42.,NUMERIC
262,Every square is a rectangle.,LOGICAL
263,Every square is a rectangle.,LOGICAL
264,A triangle has 3 sides.,NUMERIC
265,This movie is fantastic.,OPINION
266,Every square is a rectangle.,LOGICAL
267,Water freezes at 0°C.,FACTUAL
268,India became independent in 1947.,TEMPORAL
269,Every square is a rectangle.,LOGICAL
270,Python is the best language.,OPINION
271,The Olympics were held in Tokyo in 2021.,TEMPORAL
272,If A>B and B>C then A>C.,LOGICAL
273,A triangle has 3 sides.,NUMERIC
274,Every square is a rectangle.,LOGICAL
275,A triangle has 3 sides.,NUMERIC
276,Water freezes at 0°C.,FACTUAL
277,Python is the best language.,OPINION
278,This movie is fantastic.,OPINION
279,Paris is the capital of France.,FACTUAL
280,India became independent in 1947.,TEMPORAL
281,15 + 27 = 42.,NUMERIC
282,Paris is the capital of France.,FACTUAL
283,The Earth is 149.6 million km from the Sun.,NUMERIC
284,AI is the greatest invention.,OPINION
285,If A>B and B>C then A>C.,LOGICAL
286,AI is the greatest invention.,OPINION
287,If A>B and B>C then A>C.,LOGICAL
288,All mammals are animals.,LOGICAL
289,A triangle has 3 sides.,NUMERIC
290,Paris is the capital of France.,FACTUAL
291,All mammals are animals.,LOGICAL
292,A triangle has 3 sides.,NUMERIC
293,This movie is fantastic.,OPINION
294,Mount Everest is the tallest mountain.,FACTUAL
295,15 + 27 = 42.,NUMERIC
296,All mammals are animals.,LOGICAL
297,Every square is a rectangle.,LOGICAL
298,Python is the best language.,OPINION
299,This movie is fantastic.,OPINION
300,Every square is a rectangle.,LOGICAL
301,This movie is fantastic.,OPINION
302,This movie is fantastic.,OPINION
303,A triangle has 3 sides.,NUMERIC
304,If A>B and B>C then A>C.,LOGICAL
305,India became independent in 1947.,TEMPORAL
306,The company was founded in 2010.,TEMPORAL
307,Every square is a rectangle.,LOGICAL
308,The Earth is 149.6 million km from the Sun.,NUMERIC
309,All mammals are animals.,LOGICAL
310,India became independent in 1947.,TEMPORAL
311,The Olympics were held in Tokyo in 2021.,TEMPORAL
312,The company was founded in 2010.,TEMPORAL
313,Paris is the capital of France.,FACTUAL
314,15 + 27 = 42.,NUMERIC
315,Every square is a rectangle.,LOGICAL
316,A triangle has 3 sides.,NUMERIC
317,15 + 27 = 42.,NUMERIC
318,If A>B and B>C then A>C.,LOGICAL
319,The company was founded in 2010.,TEMPORAL
320,If A>B and B>C then A>C.,LOGICAL
321,Paris is the capital of France.,FACTUAL
322,If A>B and B>C then A>C.,LOGICAL
323,Python is the best language.,OPINION
324,Mount Everest is the tallest mountain.,FACTUAL
325,If A>B and B>C then A>C.,LOGICAL
326,Water freezes at 0°C.,FACTUAL
327,The Olympics were held in Tokyo in 2021.,TEMPORAL
328,Every square is a rectangle.,LOGICAL
329,Python is the best language.,OPINION
330,The Earth is 149.6 million km from the Sun.,NUMERIC
331,The Earth is 149.6 million km from the Sun.,NUMERIC
332,If A>B and B>C then A>C.,LOGICAL
333,Water freezes at 0°C.,FACTUAL
334,The company was founded in 2010.,TEMPORAL
335,Every square is a rectangle.,LOGICAL
336,The Earth is 149.6 million km from the Sun.,NUMERIC
337,A triangle has 3 sides.,NUMERIC
338,AI is the greatest invention.,OPINION
339,Every square is a rectangle.,LOGICAL
340,Python is the best language.,OPINION
341,Paris is the capital of France.,FACTUAL
342,All mammals are animals.,LOGICAL
343,All mammals are animals.,LOGICAL
344,Water freezes at 0°C.,FACTUAL
345,If A>B and B>C then A>C.,LOGICAL
346,The Earth is 149.6 million km from the Sun.,NUMERIC
347,The Olympics were held in Tokyo in 2021.,TEMPORAL
348,If A>B and B>C then A>C.,LOGICAL
349,If A>B and B>C then A>C.,LOGICAL
350,Water freezes at 0°C.,FACTUAL
351,Mount Everest is the tallest mountain.,FACTUAL
352,AI is the greatest invention.,OPINION
353,India became independent in 1947.,TEMPORAL
354,Mount Everest is the tallest mountain.,FACTUAL
355,Paris is the capital of France.,FACTUAL
356,15 + 27 = 42.,NUMERIC
357,Mount Everest is the tallest mountain.,FACTUAL
358,15 + 27 = 42.,NUMERIC
359,The Earth is 149.6 million km from the Sun.,NUMERIC
360,Mount Everest is the tallest mountain.,FACTUAL
361,The Earth is 149.6 million km from the Sun.,NUMERIC
362,The Olympics were held in Tokyo in 2021.,TEMPORAL
363,A triangle has 3 sides.,NUMERIC
364,Python is the best language.,OPINION
365,Paris is the capital of France.,FACTUAL
366,India became independent in 1947.,TEMPORAL
367,AI is the greatest invention.,OPINION
368,The company was founded in 2010.,TEMPORAL
369,If A>B and B>C then A>C.,LOGICAL
370,15 + 27 = 42.,NUMERIC
371,Python is the best language.,OPINION
372,15 + 27 = 42.,NUMERIC
373,The company was founded in 2010.,TEMPORAL
374,AI is the greatest invention.,OPINION
375,AI is the greatest invention.,OPINION
376,The company was founded in 2010.,TEMPORAL
377,Every square is a rectangle.,LOGICAL
378,India became independent in 1947.,TEMPORAL
379,Python is the best language.,OPINION
380,India became independent in 1947.,TEMPORAL
381,If A>B and B>C then A>C.,LOGICAL
382,Water freezes at 0°C.,FACTUAL
383,The company was founded in 2010.,TEMPORAL
384,Every square is a rectangle.,LOGICAL
385,The Earth is 149.6 million km from the Sun.,NUMERIC
386,A triangle has 3 sides.,NUMERIC
387,Python is the best language.,OPINION
388,The company was founded in 2010.,TEMPORAL
389,This movie is fantastic.,OPINION
390,If A>B and B>C then A>C.,LOGICAL
391,This movie is fantastic.,OPINION
392,India became independent in 1947.,TEMPORAL
393,Water freezes at 0°C.,FACTUAL
394,All mammals are animals.,LOGICAL
395,Every square is a rectangle.,LOGICAL
396,Python is the best language.,OPINION
397,If A>B and B>C then A>C.,LOGICAL
398,Water freezes at 0°C.,FACTUAL
399,India became independent in 1947.,TEMPORAL
400,All mammals are animals.,LOGICAL
401,The Olympics were held in Tokyo in 2021.,TEMPORAL
402,The Olympics were held in Tokyo in 2021.,TEMPORAL
403,Python is the best language.,OPINION
404,The company was founded in 2010.,TEMPORAL
405,Mount Everest is the tallest mountain.,FACTUAL
406,15 + 27 = 42.,NUMERIC
407,A triangle has 3 sides.,NUMERIC
408,If A>B and B>C then A>C.,LOGICAL
409,AI is the greatest invention.,OPINION
410,Every square is a rectangle.,LOGICAL
411,If A>B and B>C then A>C.,LOGICAL
412,Paris is the capital of France.,FACTUAL
413,India became independent in 1947.,TEMPORAL
414,Every square is a rectangle.,LOGICAL
415,The Earth is 149.6 million km from the Sun.,NUMERIC
416,This movie is fantastic.,OPINION
417,Every square is a rectangle.,LOGICAL
418,This movie is fantastic.,OPINION
419,Every square is a rectangle.,LOGICAL
420,This movie is fantastic.,OPINION
421,The company was founded in 2010.,TEMPORAL
422,If A>B and B>C then A>C.,LOGICAL
423,The Olympics were held in Tokyo in 2021.,TEMPORAL
424,15 + 27 = 42.,NUMERIC
425,The Earth is 149.6 million km from the Sun.,NUMERIC
426,Mount Everest is the tallest mountain.,FACTUAL
427,Python is the best language.,OPINION
428,15 + 27 = 42.,NUMERIC
429,A triangle has 3 sides.,NUMERIC
430,If A>B and B>C then A>C.,LOGICAL
431,Python is the best language.,OPINION
432,This movie is fantastic.,OPINION
433,Paris is the capital of France.,FACTUAL
434,India became independent in 1947.,TEMPORAL
435,India became independent in 1947.,TEMPORAL
436,India became independent in 1947.,TEMPORAL
437,AI is the greatest invention.,OPINION
438,India became independent in 1947.,TEMPORAL
439,Mount Everest is the tallest mountain.,FACTUAL
440,The company was founded in 2010.,TEMPORAL
441,A triangle has 3 sides.,NUMERIC
442,All mammals are animals.,LOGICAL
443,Mount Everest is the tallest mountain.,FACTUAL
444,The Olympics were held in Tokyo in 2021.,TEMPORAL
445,If A>B and B>C then A>C.,LOGICAL
446,India became independent in 1947.,TEMPORAL
447,Water freezes at 0°C.,FACTUAL
448,All mammals are animals.,LOGICAL
449,Water freezes at 0°C.,FACTUAL
450,All mammals are animals.,LOGICAL
451,Python is the best language.,OPINION
452,Paris is the capital of France.,FACTUAL
453,A triangle has 3 sides.,NUMERIC
454,India became independent in 1947.,TEMPORAL
455,15 + 27 = 42.,NUMERIC
456,This movie is fantastic.,OPINION
457,Python is the best language.,OPINION
458,AI is the greatest invention.,OPINION
459,This movie is fantastic.,OPINION
460,If A>B and B>C then A>C.,LOGICAL
461,The company was founded in 2010.,TEMPORAL
462,If A>B and B>C then A>C.,LOGICAL
463,Python is the best language.,OPINION
464,Mount Everest is the tallest mountain.,FACTUAL
465,Paris is the capital of France.,FACTUAL
466,The Earth is 149.6 million km from the Sun.,NUMERIC
467,Paris is the capital of France.,FACTUAL
468,15 + 27 = 42.,NUMERIC
469,AI is the greatest invention.,OPINION
470,15 + 27 = 42.,NUMERIC
471,If A>B and B>C then A>C.,LOGICAL
472,This movie is fantastic.,OPINION
473,India became independent in 1947.,TEMPORAL
474,The Earth is 149.6 million km from the Sun.,NUMERIC
475,The company was founded in 2010.,TEMPORAL
476,All mammals are animals.,LOGICAL
477,The Earth is 149.6 million km from the Sun.,NUMERIC
478,Python is the best language.,OPINION
479,The Earth is 149.6 million km from the Sun.,NUMERIC
480,Mount Everest is the tallest mountain.,FACTUAL
481,A triangle has 3 sides.,NUMERIC
482,The Earth is 149.6 million km from the Sun.,NUMERIC
483,15 + 27 = 42.,NUMERIC
484,Paris is the capital of France.,FACTUAL
485,The company was founded in 2010.,TEMPORAL
486,This movie is fantastic.,OPINION
487,All mammals are animals.,LOGICAL
488,Every square is a rectangle.,LOGICAL
489,The company was founded in 2010.,TEMPORAL
490,If A>B and B>C then A>C.,LOGICAL
491,Python is the best language.,OPINION
492,If A>B and B>C then A>C.,LOGICAL
493,Mount Everest is the tallest mountain.,FACTUAL
494,Water freezes at 0°C.,FACTUAL
495,The company was founded in 2010.,TEMPORAL
496,India became independent in 1947.,TEMPORAL
497,Paris is the capital of France.,FACTUAL
498,Python is the best language.,OPINION
499,Mount Everest is the tallest mountain.,FACTUAL
500,The company was founded in 2010.,TEMPORAL
501,Paris is the capital of France.,FACTUAL
502,Every square is a rectangle.,LOGICAL
503,If A>B and B>C then A>C.,LOGICAL
504,A triangle has 3 sides.,NUMERIC
505,Every square is a rectangle.,LOGICAL
506,All mammals are animals.,LOGICAL
507,If A>B and B>C then A>C.,LOGICAL
508,If A>B and B>C then A>C.,LOGICAL
509,The company was founded in 2010.,TEMPORAL
510,Paris is the capital of France.,FACTUAL
511,The Olympics were held in Tokyo in 2021.,TEMPORAL
512,If A>B and B>C then A>C.,LOGICAL
513,Every square is a rectangle.,LOGICAL
514,Water freezes at 0°C.,FACTUAL
515,Water freezes at 0°C.,FACTUAL
516,The Olympics were held in Tokyo in 2021.,TEMPORAL
517,Water freezes at 0°C.,FACTUAL
518,AI is the greatest invention.,OPINION
519,This movie is fantastic.,OPINION
520,All mammals are animals.,LOGICAL
521,A triangle has 3 sides.,NUMERIC
522,The company was founded in 2010.,TEMPORAL
523,Every square is a rectangle.,LOGICAL
524,All mammals are animals.,LOGICAL
525,The Earth is 149.6 million km from the Sun.,NUMERIC
526,AI is the greatest invention.,OPINION
527,The Olympics were held in Tokyo in 2021.,TEMPORAL
528,All mammals are animals.,LOGICAL
529,Mount Everest is the tallest mountain.,FACTUAL
530,AI is the greatest invention.,OPINION
531,The Earth is 149.6 million km from the Sun.,NUMERIC
532,AI is the greatest invention.,OPINION
533,This movie is fantastic.,OPINION
534,Paris is the capital of France.,FACTUAL
535,Water freezes at 0°C.,FACTUAL
536,Mount Everest is the tallest mountain.,FACTUAL
537,The Earth is 149.6 million km from the Sun.,NUMERIC
538,The company was founded in 2010.,TEMPORAL
539,The Olympics were held in Tokyo in 2021.,TEMPORAL
540,If A>B and B>C then A>C.,LOGICAL
541,The Earth is 149.6 million km from the Sun.,NUMERIC
542,AI is the greatest invention.,OPINION
543,All mammals are animals.,LOGICAL
544,Python is the best language.,OPINION
545,15 + 27 = 42.,NUMERIC
546,The Olympics were held in Tokyo in 2021.,TEMPORAL
547,The company was founded in 2010.,TEMPORAL
548,India became independent in 1947.,TEMPORAL
549,The company was founded in 2010.,TEMPORAL
550,The company was founded in 2010.,TEMPORAL
551,Python is the best language.,OPINION
552,All mammals are animals.,LOGICAL
553,Every square is a rectangle.,LOGICAL
554,If A>B and B>C then A>C.,LOGICAL
555,The company was founded in 2010.,TEMPORAL
556,This movie is fantastic.,OPINION
557,If A>B and B>C then A>C.,LOGICAL
558,A triangle has 3 sides.,NUMERIC
559,A triangle has 3 sides.,NUMERIC
560,All mammals are animals.,LOGICAL
561,All mammals are animals.,LOGICAL
562,The company was founded in 2010.,TEMPORAL
563,Every square is a rectangle.,LOGICAL
564,If A>B and B>C then A>C.,LOGICAL
565,The Earth is 149.6 million km from the Sun.,NUMERIC
566,Paris is the capital of France.,FACTUAL
567,Python is the best language.,OPINION
568,India became independent in 1947.,TEMPORAL
569,All mammals are animals.,LOGICAL
570,This movie is fantastic.,OPINION
571,Mount Everest is the tallest mountain.,FACTUAL
572,The Earth is 149.6 million km from the Sun.,NUMERIC
573,15 + 27 = 42.,NUMERIC
574,If A>B and B>C then A>C.,LOGICAL
575,The company was founded in 2010.,TEMPORAL
576,Every square is a rectangle.,LOGICAL
577,Water freezes at 0°C.,FACTUAL
578,This movie is fantastic.,OPINION
579,The company was founded in 2010.,TEMPORAL
580,Every square is a rectangle.,LOGICAL
581,Mount Everest is the tallest mountain.,FACTUAL
582,Paris is the capital of France.,FACTUAL
583,India became independent in 1947.,TEMPORAL
584,Water freezes at 0°C.,FACTUAL
585,Mount Everest is the tallest mountain.,FACTUAL
586,Water freezes at 0°C.,FACTUAL
587,A triangle has 3 sides.,NUMERIC
588,India became independent in 1947.,TEMPORAL
589,Water freezes at 0°C.,FACTUAL
590,Water freezes at 0°C.,FACTUAL
591,The Olympics were held in Tokyo in 2021.,TEMPORAL
592,All mammals are animals.,LOGICAL
593,A triangle has 3 sides.,NUMERIC
594,Every square is a rectangle.,LOGICAL
595,15 + 27 = 42.,NUMERIC
596,15 + 27 = 42.,NUMERIC
597,This movie is fantastic.,OPINION
598,Python is the best language.,OPINION
599,The Earth is 149.6 million km from the Sun.,NUMERIC
600,AI is the greatest invention.,OPINION
601,The Earth is 149.6 million km from the Sun.,NUMERIC
602,The Olympics were held in Tokyo in 2021.,TEMPORAL
603,The company was founded in 2010.,TEMPORAL
604,Water freezes at 0°C.,FACTUAL
605,The company was founded in 2010.,TEMPORAL
606,AI is the greatest invention.,OPINION
607,Water freezes at 0°C.,FACTUAL
608,The company was founded in 2010.,TEMPORAL
609,The company was founded in 2010.,TEMPORAL
610,Every square is a rectangle.,LOGICAL
611,The Olympics were held in Tokyo in 2021.,TEMPORAL
612,India became independent in 1947.,TEMPORAL
613,If A>B and B>C then A>C.,LOGICAL
614,Paris is the capital of France.,FACTUAL
615,Every square is a rectangle.,LOGICAL
616,The company was founded in 2010.,TEMPORAL
617,The company was founded in 2010.,TEMPORAL
618,India became independent in 1947.,TEMPORAL
619,If A>B and B>C then A>C.,LOGICAL
620,Mount Everest is the tallest mountain.,FACTUAL
621,Mount Everest is the tallest mountain.,FACTUAL
622,If A>B and B>C then A>C.,LOGICAL
623,A triangle has 3 sides.,NUMERIC
624,India became independent in 1947.,TEMPORAL
625,A triangle has 3 sides.,NUMERIC
626,The company was founded in 2010.,TEMPORAL
627,A triangle has 3 sides.,NUMERIC
628,Mount Everest is the tallest mountain.,FACTUAL
629,Water freezes at 0°C.,FACTUAL
630,All mammals are animals.,LOGICAL
631,This movie is fantastic.,OPINION
632,15 + 27 = 42.,NUMERIC
633,The Olympics were held in Tokyo in 2021.,TEMPORAL
634,All mammals are animals.,LOGICAL
635,15 + 27 = 42.,NUMERIC
636,This movie is fantastic.,OPINION
637,Python is the best language.,OPINION
638,India became independent in 1947.,TEMPORAL
639,The Olympics were held in Tokyo in 2021.,TEMPORAL
640,The company was founded in 2010.,TEMPORAL
641,India became independent in 1947.,TEMPORAL
642,All mammals are animals.,LOGICAL
643,15 + 27 = 42.,NUMERIC
644,Every square is a rectangle.,LOGICAL
645,India became independent in 1947.,TEMPORAL
646,All mammals are animals.,LOGICAL
647,The company was founded in 2010.,TEMPORAL
648,Water freezes at 0°C.,FACTUAL
649,The company was founded in 2010.,TEMPORAL
650,The company was founded in 2010.,TEMPORAL
651,Every square is a rectangle.,LOGICAL
652,India became independent in 1947.,TEMPORAL
653,The Earth is 149.6 million km from the Sun.,NUMERIC
654,Mount Everest is the tallest mountain.,FACTUAL
655,This movie is fantastic.,OPINION
656,AI is the greatest invention.,OPINION
657,Mount Everest is the tallest mountain.,FACTUAL
658,Every square is a rectangle.,LOGICAL
659,The company was founded in 2010.,TEMPORAL
660,All mammals are animals.,LOGICAL
661,15 + 27 = 42.,NUMERIC
662,Water freezes at 0°C.,FACTUAL
663,All mammals are animals.,LOGICAL
664,Paris is the capital of France.,FACTUAL
665,AI is the greatest invention.,OPINION
