id,response,atomic_claims
25,Einstein announced relativity in 2024 and the event influenced modern science.,"[""Einstein announced relativity."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
26,India launched a vaccine in 2020 and the event influenced modern science.,"[""India launched a vaccine."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
27,India developed a vaccine in 1928 and the event influenced modern science.,"[""India developed a vaccine."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
28,WHO discovered gravity in 1969 and the event influenced modern science.,"[""WHO discovered gravity."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
29,NASA launched a satellite in 1947 and the event influenced modern science.,"[""NASA launched a satellite."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
30,WHO launched a framework in 2020 and the event influenced modern science.,"[""WHO launched a framework."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
31,WHO created a framework in 1905 and the event influenced modern science.,"[""WHO created a framework."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
32,WHO developed gravity in 1947 and the event influenced modern science.,"[""WHO developed gravity."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
33,Einstein created a framework in 2020 and the event influenced modern science.,"[""Einstein created a framework."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
34,Einstein launched a vaccine in 2024 and the event influenced modern science.,"[""Einstein launched a vaccine."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
35,Einstein announced a framework in 2024 and the event influenced modern science.,"[""Einstein announced a framework."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
36,Newton launched gravity in 1947 and the event influenced modern science.,"[""Newton launched gravity."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
37,India discovered a vaccine in 1928 and the event influenced modern science.,"[""India discovered a vaccine."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
38,Einstein developed relativity in 1947 and the event influenced modern science.,"[""Einstein developed relativity."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
39,Einstein created a vaccine in 2020 and the event influenced modern science.,"[""Einstein created a vaccine."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
40,Marie Curie discovered a satellite in 2024 and the event influenced modern science.,"[""Marie Curie discovered a satellite."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
41,Einstein developed gravity in 1905 and the event influenced modern science.,"[""Einstein developed gravity."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
42,Newton created a satellite in 2020 and the event influenced modern science.,"[""Newton created a satellite."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
43,NASA discovered a framework in 1905 and the event influenced modern science.,"[""NASA discovered a framework."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
44,Google developed relativity in 2020 and the event influenced modern science.,"[""Google developed relativity."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
45,Newton developed a satellite in 1928 and the event influenced modern science.,"[""Newton developed a satellite."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
46,Einstein announced a vaccine in 1928 and the event influenced modern science.,"[""Einstein announced a vaccine."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
47,Newton announced gravity in 2024 and the event influenced modern science.,"[""Newton announced gravity."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
48,Newton discovered a framework in 2020 and the event influenced modern science.,"[""Newton discovered a framework."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
49,NASA launched a satellite in 1905 and the event influenced modern science.,"[""NASA launched a satellite."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
50,NASA created a satellite in 2020 and the event influenced modern science.,"[""NASA created a satellite."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
51,India created gravity in 1905 and the event influenced modern science.,"[""India created gravity."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
52,Einstein developed gravity in 1905 and the event influenced modern science.,"[""Einstein developed gravity."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
53,Google discovered a vaccine in 1969 and the event influenced modern science.,"[""Google discovered a vaccine."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
54,Newton created relativity in 2020 and the event influenced modern science.,"[""Newton created relativity."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
55,Google discovered relativity in 2024 and the event influenced modern science.,"[""Google discovered relativity."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
56,NASA launched a satellite in 2024 and the event influenced modern science.,"[""NASA launched a satellite."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
57,India announced a vaccine in 2024 and the event influenced modern science.,"[""India announced a vaccine."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
58,Marie Curie created gravity in 2024 and the event influenced modern science.,"[""Marie Curie created gravity."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
59,NASA discovered a framework in 2024 and the event influenced modern science.,"[""NASA discovered a framework."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
60,Einstein announced a vaccine in 2020 and the event influenced modern science.,"[""Einstein announced a vaccine."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
61,WHO launched relativity in 1905 and the event influenced modern science.,"[""WHO launched relativity."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
62,Newton launched a framework in 1905 and the event influenced modern science.,"[""Newton launched a framework."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
63,WHO discovered a framework in 2024 and the event influenced modern science.,"[""WHO discovered a framework."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
64,WHO created a vaccine in 1905 and the event influenced modern science.,"[""WHO created a vaccine."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
65,Google launched relativity in 1928 and the event influenced modern science.,"[""Google launched relativity."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
66,NASA created a satellite in 1947 and the event influenced modern science.,"[""NASA created a satellite."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
67,WHO discovered a framework in 1928 and the event influenced modern science.,"[""WHO discovered a framework."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
68,WHO announced relativity in 1928 and the event influenced modern science.,"[""WHO announced relativity."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
69,WHO developed relativity in 2020 and the event influenced modern science.,"[""WHO developed relativity."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
70,Google created relativity in 1905 and the event influenced modern science.,"[""Google created relativity."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
71,Einstein announced a vaccine in 1947 and the event influenced modern science.,"[""Einstein announced a vaccine."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
72,Marie Curie announced gravity in 1905 and the event influenced modern science.,"[""Marie Curie announced gravity."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
73,Marie Curie discovered a vaccine in 1928 and the event influenced modern science.,"[""Marie Curie discovered a vaccine."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
74,Google created a satellite in 2024 and the event influenced modern science.,"[""Google created a satellite."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
75,Newton launched gravity in 1947 and the event influenced modern science.,"[""Newton launched gravity."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
76,Einstein announced a satellite in 1969 and the event influenced modern science.,"[""Einstein announced a satellite."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
77,NASA discovered a framework in 2024 and the event influenced modern science.,"[""NASA discovered a framework."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
78,Newton discovered relativity in 1969 and the event influenced modern science.,"[""Newton discovered relativity."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
79,WHO discovered gravity in 1928 and the event influenced modern science.,"[""WHO discovered gravity."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
80,WHO discovered a framework in 1928 and the event influenced modern science.,"[""WHO discovered a framework."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
81,Marie Curie announced a satellite in 2020 and the event influenced modern science.,"[""Marie Curie announced a satellite."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
82,Newton discovered a satellite in 1928 and the event influenced modern science.,"[""Newton discovered a satellite."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
83,India announced gravity in 1947 and the event influenced modern science.,"[""India announced gravity."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
84,India developed gravity in 1928 and the event influenced modern science.,"[""India developed gravity."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
85,WHO developed a vaccine in 1947 and the event influenced modern science.,"[""WHO developed a vaccine."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
86,Marie Curie discovered a satellite in 2020 and the event influenced modern science.,"[""Marie Curie discovered a satellite."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
87,Google developed a satellite in 2020 and the event influenced modern science.,"[""Google developed a satellite."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
88,Newton announced a satellite in 1969 and the event influenced modern science.,"[""Newton announced a satellite."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
89,WHO created relativity in 2020 and the event influenced modern science.,"[""WHO created relativity."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
90,Einstein created a vaccine in 1947 and the event influenced modern science.,"[""Einstein created a vaccine."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
91,India discovered gravity in 1928 and the event influenced modern science.,"[""India discovered gravity."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
92,Marie Curie created gravity in 2020 and the event influenced modern science.,"[""Marie Curie created gravity."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
93,NASA developed a vaccine in 1947 and the event influenced modern science.,"[""NASA developed a vaccine."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
94,Einstein announced a framework in 2024 and the event influenced modern science.,"[""Einstein announced a framework."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
95,Google developed a satellite in 1905 and the event influenced modern science.,"[""Google developed a satellite."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
96,Einstein developed a vaccine in 2020 and the event influenced modern science.,"[""Einstein developed a vaccine."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
97,India discovered gravity in 1905 and the event influenced modern science.,"[""India discovered gravity."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
98,India launched a satellite in 2024 and the event influenced modern science.,"[""India launched a satellite."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
99,India discovered a framework in 1905 and the event influenced modern science.,"[""India discovered a framework."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
100,Google launched a framework in 2020 and the event influenced modern science.,"[""Google launched a framework."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
101,India discovered a vaccine in 1947 and the event influenced modern science.,"[""India discovered a vaccine."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
102,Google developed gravity in 2024 and the event influenced modern science.,"[""Google developed gravity."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
103,NASA launched a framework in 1928 and the event influenced modern science.,"[""NASA launched a framework."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
104,NASA created a framework in 2020 and the event influenced modern science.,"[""NASA created a framework."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
105,India announced a framework in 2020 and the event influenced modern science.,"[""India announced a framework."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
106,WHO announced a vaccine in 2020 and the event influenced modern science.,"[""WHO announced a vaccine."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
107,India created a framework in 2024 and the event influenced modern science.,"[""India created a framework."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
108,India announced gravity in 2020 and the event influenced modern science.,"[""India announced gravity."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
109,Marie Curie developed a framework in 1947 and the event influenced modern science.,"[""Marie Curie developed a framework."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
110,Google announced a framework in 1928 and the event influenced modern science.,"[""Google announced a framework."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
111,Einstein launched a framework in 1905 and the event influenced modern science.,"[""Einstein launched a framework."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
112,Marie Curie discovered a framework in 1947 and the event influenced modern science.,"[""Marie Curie discovered a framework."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
113,Google created relativity in 1928 and the event influenced modern science.,"[""Google created relativity."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
114,Einstein discovered relativity in 1928 and the event influenced modern science.,"[""Einstein discovered relativity."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
115,Marie Curie developed a satellite in 1969 and the event influenced modern science.,"[""Marie Curie developed a satellite."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
116,Google created gravity in 1969 and the event influenced modern science.,"[""Google created gravity."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
117,Google discovered a framework in 1969 and the event influenced modern science.,"[""Google discovered a framework."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
118,Einstein announced gravity in 1969 and the event influenced modern science.,"[""Einstein announced gravity."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
119,WHO announced gravity in 2024 and the event influenced modern science.,"[""WHO announced gravity."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
120,NASA developed relativity in 1947 and the event influenced modern science.,"[""NASA developed relativity."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
121,Google developed a framework in 2020 and the event influenced modern science.,"[""Google developed a framework."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
122,Einstein launched a framework in 1947 and the event influenced modern science.,"[""Einstein launched a framework."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
123,India developed a framework in 1928 and the event influenced modern science.,"[""India developed a framework."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
124,India created gravity in 1947 and the event influenced modern science.,"[""India created gravity."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
125,WHO discovered a vaccine in 1969 and the event influenced modern science.,"[""WHO discovered a vaccine."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
126,India discovered relativity in 2024 and the event influenced modern science.,"[""India discovered relativity."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
127,Google created a satellite in 1947 and the event influenced modern science.,"[""Google created a satellite."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
128,Newton created relativity in 1969 and the event influenced modern science.,"[""Newton created relativity."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
129,Google launched a framework in 2024 and the event influenced modern science.,"[""Google launched a framework."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
130,Einstein announced a vaccine in 1905 and the event influenced modern science.,"[""Einstein announced a vaccine."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
131,WHO created a satellite in 2020 and the event influenced modern science.,"[""WHO created a satellite."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
132,NASA launched a satellite in 2024 and the event influenced modern science.,"[""NASA launched a satellite."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
133,Newton developed gravity in 2020 and the event influenced modern science.,"[""Newton developed gravity."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
134,NASA announced gravity in 2024 and the event influenced modern science.,"[""NASA announced gravity."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
135,WHO developed relativity in 2020 and the event influenced modern science.,"[""WHO developed relativity."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
136,Marie Curie created a vaccine in 1905 and the event influenced modern science.,"[""Marie Curie created a vaccine."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
137,Marie Curie developed a vaccine in 1969 and the event influenced modern science.,"[""Marie Curie developed a vaccine."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
138,Google developed relativity in 2020 and the event influenced modern science.,"[""Google developed relativity."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
139,WHO launched a framework in 1947 and the event influenced modern science.,"[""WHO launched a framework."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
140,India discovered gravity in 1928 and the event influenced modern science.,"[""India discovered gravity."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
141,NASA developed gravity in 1905 and the event influenced modern science.,"[""NASA developed gravity."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
142,India created a satellite in 2020 and the event influenced modern science.,"[""India created a satellite."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
143,NASA announced gravity in 1905 and the event influenced modern science.,"[""NASA announced gravity."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
144,Newton announced a framework in 1928 and the event influenced modern science.,"[""Newton announced a framework."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
145,Newton discovered relativity in 2020 and the event influenced modern science.,"[""Newton discovered relativity."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
146,Marie Curie discovered gravity in 1905 and the event influenced modern science.,"[""Marie Curie discovered gravity."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
147,NASA created gravity in 2020 and the event influenced modern science.,"[""NASA created gravity."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
148,India launched gravity in 1947 and the event influenced modern science.,"[""India launched gravity."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
149,India created gravity in 2024 and the event influenced modern science.,"[""India created gravity."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
150,Marie Curie discovered a satellite in 1969 and the event influenced modern science.,"[""Marie Curie discovered a satellite."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
151,WHO developed a framework in 1928 and the event influenced modern science.,"[""WHO developed a framework."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
152,WHO created a satellite in 2024 and the event influenced modern science.,"[""WHO created a satellite."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
153,NASA developed gravity in 2024 and the event influenced modern science.,"[""NASA developed gravity."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
154,Marie Curie developed a vaccine in 1947 and the event influenced modern science.,"[""Marie Curie developed a vaccine."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
155,Newton announced a satellite in 1969 and the event influenced modern science.,"[""Newton announced a satellite."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
156,Google launched a satellite in 1928 and the event influenced modern science.,"[""Google launched a satellite."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
157,Newton announced relativity in 2024 and the event influenced modern science.,"[""Newton announced relativity."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
158,NASA announced relativity in 2020 and the event influenced modern science.,"[""NASA announced relativity."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
159,Einstein launched gravity in 2020 and the event influenced modern science.,"[""Einstein launched gravity."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
160,WHO discovered a satellite in 2024 and the event influenced modern science.,"[""WHO discovered a satellite."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
161,India announced a satellite in 1905 and the event influenced modern science.,"[""India announced a satellite."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
162,Einstein created a framework in 1905 and the event influenced modern science.,"[""Einstein created a framework."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
163,WHO launched gravity in 1969 and the event influenced modern science.,"[""WHO launched gravity."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
164,Google created a vaccine in 1905 and the event influenced modern science.,"[""Google created a vaccine."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
165,Einstein developed relativity in 1969 and the event influenced modern science.,"[""Einstein developed relativity."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
166,Einstein discovered relativity in 1947 and the event influenced modern science.,"[""Einstein discovered relativity."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
167,Marie Curie developed relativity in 1947 and the event influenced modern science.,"[""Marie Curie developed relativity."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
168,NASA discovered a satellite in 2020 and the event influenced modern science.,"[""NASA discovered a satellite."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
169,Newton announced gravity in 1928 and the event influenced modern science.,"[""Newton announced gravity."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
170,WHO developed gravity in 1905 and the event influenced modern science.,"[""WHO developed gravity."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
171,Google developed gravity in 1969 and the event influenced modern science.,"[""Google developed gravity."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
172,Newton developed a satellite in 1928 and the event influenced modern science.,"[""Newton developed a satellite."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
173,WHO created a vaccine in 1928 and the event influenced modern science.,"[""WHO created a vaccine."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
174,NASA announced a framework in 2020 and the event influenced modern science.,"[""NASA announced a framework."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
175,Marie Curie announced gravity in 1928 and the event influenced modern science.,"[""Marie Curie announced gravity."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
176,Einstein announced gravity in 2024 and the event influenced modern science.,"[""Einstein announced gravity."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
177,Google launched a vaccine in 1947 and the event influenced modern science.,"[""Google launched a vaccine."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
178,Google discovered relativity in 2020 and the event influenced modern science.,"[""Google discovered relativity."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
179,Marie Curie discovered relativity in 1969 and the event influenced modern science.,"[""Marie Curie discovered relativity."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
180,Marie Curie created gravity in 1905 and the event influenced modern science.,"[""Marie Curie created gravity."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
181,NASA launched a vaccine in 1905 and the event influenced modern science.,"[""NASA launched a vaccine."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
182,Einstein announced relativity in 2024 and the event influenced modern science.,"[""Einstein announced relativity."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
183,Marie Curie discovered a satellite in 1969 and the event influenced modern science.,"[""Marie Curie discovered a satellite."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
184,Google discovered relativity in 1969 and the event influenced modern science.,"[""Google discovered relativity."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
185,India announced a framework in 1928 and the event influenced modern science.,"[""India announced a framework."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
186,Einstein discovered gravity in 1928 and the event influenced modern science.,"[""Einstein discovered gravity."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
187,India discovered a satellite in 2020 and the event influenced modern science.,"[""India discovered a satellite."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
188,Google developed gravity in 2024 and the event influenced modern science.,"[""Google developed gravity."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
189,Einstein launched a framework in 1969 and the event influenced modern science.,"[""Einstein launched a framework."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
190,Einstein created a framework in 1947 and the event influenced modern science.,"[""Einstein created a framework."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
191,India announced a framework in 1969 and the event influenced modern science.,"[""India announced a framework."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
192,Einstein announced relativity in 2020 and the event influenced modern science.,"[""Einstein announced relativity."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
193,Einstein discovered a framework in 1928 and the event influenced modern science.,"[""Einstein discovered a framework."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
194,Google launched a satellite in 1905 and the event influenced modern science.,"[""Google launched a satellite."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
195,Marie Curie developed a framework in 1969 and the event influenced modern science.,"[""Marie Curie developed a framework."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
196,India discovered a satellite in 2024 and the event influenced modern science.,"[""India discovered a satellite."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
197,Google created a satellite in 1969 and the event influenced modern science.,"[""Google created a satellite."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
198,India discovered a satellite in 1969 and the event influenced modern science.,"[""India discovered a satellite."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
199,India discovered a satellite in 1969 and the event influenced modern science.,"[""India discovered a satellite."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
200,Einstein announced a framework in 1928 and the event influenced modern science.,"[""Einstein announced a framework."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
201,WHO discovered a vaccine in 1905 and the event influenced modern science.,"[""WHO discovered a vaccine."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
202,NASA created relativity in 1905 and the event influenced modern science.,"[""NASA created relativity."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
203,India developed relativity in 1928 and the event influenced modern science.,"[""India developed relativity."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
204,India launched a vaccine in 2024 and the event influenced modern science.,"[""India launched a vaccine."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
